,명사,중복횟수,총조회수,총추천수
18913,미츠미,1,28890.0,200.0
35740,신이치,1,28888.0,290.0
35256,황새,1,28884.0,352.0
16503,맹동,2,28883.0,102.0
36782,산편,1,28880.0,425.0
41965,단고기,1,28878.0,140.0
21234,봄꽃,4,28871.0,101.0
21492,씰북,2,28868.0,189.0
31152,음용,1,28867.0,414.0
28374,보코,1,28867.0,169.0
8043,넷붕이들,1,28865.0,226.0
27091,남아프리카,1,28861.0,184.0
32323,특부,1,28861.0,410.0
40947,김보미,1,28855.0,634.0
39255,한일정상회담,1,28853.0,245.0
19951,장태산,3,28848.0,208.0
26096,환좌,1,28841.0,769.0
13672,개븅신,1,28836.0,401.0
39312,런처,1,28835.0,347.0
7885,엽충,1,28835.0,259.0
38608,남가뢰,1,28832.0,115.0
34700,탓습니,1,28832.0,276.0
28487,수동변속기,2,28831.0,372.0
28486,택부,2,28831.0,372.0
7598,야댱,1,28828.0,211.0
1901,몰몬,1,28827.0,266.0
26909,급뽕,1,28826.0,417.0
25966,베토벤,2,28824.0,177.0
11388,리벳,2,28821.0,262.0
41612,처철,1,28820.0,142.0
22412,정글러,1,28814.0,213.0
25765,김병욱,2,28812.0,532.0
39974,카페라떼,1,28812.0,120.0
26644,로준생,1,28811.0,168.0
14862,노망,1,28810.0,122.0
36883,택하,1,28809.0,184.0
37622,댕강,1,28808.0,153.0
40774,전영록,1,28806.0,27.0
36983,이커머스,1,28805.0,160.0
17574,비오톱,2,28805.0,108.0
32355,요셉,2,28804.0,159.0
36508,론다,1,28800.0,145.0
36509,로우지,1,28800.0,145.0
14635,진퉁임,1,28799.0,353.0
29407,월화,4,28796.0,96.0
21684,대부도,3,28795.0,200.0
36611,몽골어,1,28787.0,191.0
25087,알피,3,28780.0,169.0
28223,카탈로그,2,28777.0,227.0
34053,이첩,2,28776.0,385.0
39980,치킨호크,1,28775.0,180.0
36197,란드,2,28775.0,191.0
38451,범생,1,28773.0,311.0
17089,매질,1,28773.0,413.0
6070,메키,2,28768.0,375.0
35009,백작부인,1,28768.0,158.0
36483,계양역,1,28767.0,501.0
23325,테라폼랩스,1,28766.0,379.0
26019,넨탈,1,28765.0,189.0
33840,장희영,1,28763.0,300.0
32236,허리춤,1,28762.0,644.0
37174,숙친,1,28755.0,372.0
11493,무력감,1,28753.0,94.0
30937,직수출,1,28750.0,417.0
40573,문지기,1,28750.0,148.0
36969,적격,2,28747.0,506.0
31680,스드메,1,28746.0,129.0
39613,연이율,1,28744.0,139.0
24172,개미귀신,1,28744.0,306.0
39612,성악가,1,28744.0,139.0
23868,겜안,3,28742.0,124.0
31015,왕준호,1,28742.0,435.0
29672,소집해제,1,28739.0,131.0
40242,카말라,1,28737.0,384.0
12273,번스,2,28736.0,243.0
2108,대통령궁,2,28733.0,127.0
2330,실직자,1,28732.0,338.0
40710,처서,1,28731.0,74.0
29835,동질감,1,28731.0,73.0
29836,스페인군,1,28731.0,73.0
7825,해창,2,28728.0,235.0
30868,사발,1,28724.0,146.0
41061,미취,1,28724.0,83.0
9109,커스터드,1,28719.0,280.0
28243,몽골리안,1,28717.0,214.0
41877,이택근,1,28716.0,224.0
33013,커넥톰,1,28711.0,225.0
37854,유성호,1,28710.0,238.0
41401,미각,1,28710.0,49.0
13732,부창,1,28710.0,298.0
38650,김인,1,28707.0,303.0
38193,일별,1,28699.0,327.0
38508,꼠,1,28698.0,46.0
41166,실속,1,28697.0,82.0
42027,행정가,1,28696.0,277.0
36163,미형,1,28695.0,140.0
39768,모닝와이드,1,28691.0,495.0
2908,설린,2,28690.0,315.0
23449,레토나,1,28689.0,187.0
33010,도로시,3,28689.0,195.0
1711,플라이,3,28687.0,244.0
40187,포랜식,1,28686.0,104.0
11669,호붕이들,1,28677.0,382.0
27373,왕손,1,28676.0,276.0
28386,램브란트,1,28675.0,75.0
39559,벤탕쿠르,1,28668.0,182.0
42003,논평가,1,28663.0,227.0
41698,운접,1,28662.0,144.0
25178,킬려,1,28661.0,270.0
31492,손민수,1,28659.0,143.0
9244,냥좌,1,28659.0,433.0
39333,나부,1,28649.0,197.0
37609,영버,1,28649.0,628.0
29770,엑소더스,2,28648.0,120.0
22533,헛발,1,28645.0,683.0
10557,일경,2,28642.0,167.0
21424,피켈,1,28639.0,335.0
27589,구만,1,28638.0,550.0
12332,존왓츠,1,28636.0,488.0
28910,휴강,1,28636.0,380.0
9238,재사용,2,28630.0,340.0
37578,템플,1,28625.0,162.0
19476,이승훈,1,28621.0,181.0
19474,매스스타트,1,28621.0,181.0
19475,정재원,1,28621.0,181.0
32770,안재모,1,28618.0,377.0
31446,오윤아,1,28618.0,212.0
40005,박수진,1,28616.0,162.0
22156,윤한,2,28616.0,971.0
34666,줌씨,1,28612.0,79.0
38954,순풍,1,28611.0,313.0
27648,당산철교,1,28610.0,416.0
35175,의펀맨햄,1,28608.0,625.0
26146,세명대,1,28607.0,162.0
37845,티볼,2,28607.0,262.0
40736,사찰음식,1,28604.0,127.0
29496,송태섭,1,28593.0,149.0
25439,튜닝카들,1,28591.0,203.0
37291,남궁원,1,28589.0,125.0
41271,강철중,1,28584.0,93.0
34193,바다색,1,28580.0,898.0
39701,산유,1,28578.0,123.0
36820,퍼왓음,1,28578.0,292.0
38892,모비우스,2,28569.0,405.0
22349,막탄,4,28567.0,101.0
41544,최보선,1,28566.0,606.0
3454,커피클럽,1,28563.0,258.0
19617,외무부,1,28562.0,187.0
19618,부등,1,28562.0,187.0
34040,훑어보기,1,28561.0,326.0
34039,놀무,1,28561.0,326.0
15367,미란다,1,28559.0,255.0
35111,부쉈음,1,28556.0,372.0
11584,해왓,1,28555.0,369.0
11585,서요,1,28555.0,369.0
41098,평년,1,28553.0,122.0
41776,친부모,1,28543.0,46.0
28959,추악,1,28542.0,184.0
28958,리버럴리즘,1,28542.0,184.0
26273,핵사,1,28540.0,254.0
39281,재림,1,28538.0,35.0
39279,남자의자격,1,28538.0,35.0
32749,기울기,1,28536.0,215.0
40047,애꿎,1,28536.0,211.0
29580,피크민,2,28536.0,191.0
40046,양쯔강,1,28536.0,211.0
36397,집장,1,28534.0,183.0
24809,심천,1,28524.0,152.0
34315,싱숭생숭,1,28524.0,79.0
15330,임용수,1,28520.0,470.0
36289,지참금,1,28518.0,162.0
22592,김민수,1,28517.0,200.0
40784,엎었으,1,28513.0,100.0
20637,나왓다,1,28512.0,392.0
23984,나이팅게일,1,28509.0,692.0
24744,취학,2,28501.0,273.0
32006,전광렬,1,28495.0,314.0
1122,진법,2,28495.0,1152.0
39249,불공정,2,28494.0,397.0
31134,웃픈웃픈,1,28490.0,46.0
26462,카프카스,3,28488.0,177.0
37382,다니킬,1,28477.0,123.0
37383,대평원,1,28477.0,123.0
19320,냐옹,1,28476.0,341.0
32731,하퍼,2,28476.0,131.0
38439,상업성,1,28474.0,37.0
10134,마빈,1,28472.0,306.0
32330,현금흐름표,1,28468.0,190.0
34911,인테르,1,28467.0,350.0
32829,옐친,1,28462.0,480.0
24672,디치,2,28461.0,77.0
30263,귀산,3,28459.0,124.0
41805,리용,1,28458.0,275.0
31583,콤퓨타,1,28455.0,154.0
28253,송리단길,1,28454.0,66.0
24912,김민주,1,28446.0,431.0
38837,인디음악,1,28445.0,109.0
30925,에드워즈,2,28444.0,157.0
39639,홍예,1,28442.0,250.0
35757,압록강,2,28440.0,175.0
31796,하든,2,28437.0,549.0
34352,가시복,1,28432.0,55.0
30491,노팅엄,1,28431.0,472.0
13883,주야,1,28422.0,327.0
41988,행정감사,1,28418.0,363.0
39366,바겐세일중,1,28417.0,86.0
20815,바바라,1,28417.0,282.0
29967,정서윤,1,28415.0,285.0
33514,프로축구,1,28410.0,154.0
24716,교품,1,28410.0,264.0
25093,옽갤,2,28404.0,159.0
8876,수진역,1,28400.0,130.0
27984,란저우,1,28399.0,528.0
30147,화성학,1,28398.0,114.0
41894,신현지,1,28391.0,31.0
14291,메이티,1,28388.0,77.0
41449,환자복,1,28382.0,52.0
38572,도자캣,1,28377.0,130.0
41957,개극딜,1,28375.0,266.0
32468,파훼,1,28370.0,266.0
21051,마땅,1,28370.0,681.0
23794,섹깔,1,28367.0,427.0
32469,운동장역,1,28366.0,149.0
29188,사할린,1,28365.0,283.0
35393,구조해,1,28363.0,479.0
36668,더타임스,1,28360.0,222.0
18608,남태혁,1,28359.0,205.0
